location_key,country_code,country_name,year,min_new_confirmed,max_new_confirmed,avg_new_confirmed,median_new_confirmed,min_new_deceased,max_new_deceased,avg_new_deceased,median_new_deceased,min_new_recovered,max_new_recovered,avg_new_recovered,median_new_recovered,min_new_tested,max_new_tested,avg_new_tested,median_new_tested,min_new_persons_vaccinated,max_new_persons_vaccinated,avg_new_persons_vaccinated,median_new_persons_vaccinated,min_new_persons_fully_vaccinated,max_new_persons_fully_vaccinated,avg_new_persons_fully_vaccinated,median_new_persons_fully_vaccinated,min_new_persons_vaccinated_pfizer,max_new_persons_vaccinated_pfizer,avg_new_persons_vaccinated_pfizer,median_new_persons_vaccinated_pfizer,min_new_persons_fully_vaccinated_pfizer,max_new_persons_fully_vaccinated_pfizer,avg_new_persons_fully_vaccinated_pfizer,median_new_persons_fully_vaccinated_pfizer,min_new_persons_vaccinated_moderna,max_new_persons_vaccinated_moderna,avg_new_persons_vaccinated_moderna,median_new_persons_vaccinated_moderna,min_new_persons_fully_vaccinated_moderna,max_new_persons_fully_vaccinated_moderna,avg_new_persons_fully_vaccinated_moderna,median_new_persons_fully_vaccinated_moderna,min_new_persons_vaccinated_janssen,max_new_persons_vaccinated_janssen,avg_new_persons_vaccinated_janssen,median_new_persons_vaccinated_janssen,min_new_persons_fully_vaccinated_janssen,max_new_persons_fully_vaccinated_janssen,avg_new_persons_fully_vaccinated_janssen,median_new_persons_fully_vaccinated_janssen,min_new_persons_vaccinated_sinovac,max_new_persons_vaccinated_sinovac,avg_new_persons_vaccinated_sinovac,median_new_persons_vaccinated_sinovac,min_new_persons_fully_vaccinated_sinovac,max_new_persons_fully_vaccinated_sinovac,avg_new_persons_fully_vaccinated_sinovac,median_new_persons_fully_vaccinated_sinovac
KR,KR,South Korea,2021,344.0,7850.0,1779.1844660194174,1431.0,0.0,109.0,13.26537216828479,5.0,0.0,0.0,0.0,0.0,26097.0,293990.0,119256.56310679612,97279.0,0.0,894314.0,143282.39805825244,52808.0,0.0,1100645.0,138007.7799352751,58464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,KR,South Korea,2022,3003.0,621328.0,92286.6875,52515.5,2.0,470.0,85.82421875,45.0,0.0,0.0,0.0,0.0,0.0,1154325.0,213746.59375,146302.5,2.0,40668.0,3109.0859375,611.5,1.0,109802.0,7874.33203125,986.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KW,KW,Kuwait,2020,236.0,236.0,236.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586.0,3586.0,3586.0,3586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KW,KW,Kuwait,2021,0.0,1654.0,691.1428571428571,580.0,0.0,13.0,4.238095238095238,3.0,0.0,0.0,0.0,0.0,7570.0,24068.0,14162.333333333334,11419.0,0.0,1852426.0,152258.14285714287,3108.0,0.0,2242078.0,151366.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KW,KW,Kuwait,2022,0.0,6913.0,1654.5,300.5,0.0,2.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,37540.0,10647.119047619048,0.0,274.0,13248.0,2602.8809523809523,1918.5,0.0,9140.0,2829.8571428571427,2430.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,KY,Cayman Islands,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,KY,Cayman Islands,2021,0.0,336.0,13.927083333333334,1.0,0.0,1.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7811.0,610.3229166666666,262.0,0.0,2502.0,559.3125,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,KY,Cayman Islands,2022,0.0,432.0,17.28,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,773.0,122.88,67.0,0.0,516.0,130.16,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KZ,KZ,Kazakhstan,2021,351.0,8325.0,2841.938271604938,1976.0,0.0,1077.0,47.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,148586.0,7474.201646090535,0.0,0.0,395398.0,36980.09465020576,26859.0,0.0,174263.0,35032.81069958848,30676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KZ,KZ,Kazakhstan,2022,5.0,16442.0,1859.7578947368422,223.0,0.0,30.0,3.8210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233856.0,9699.363157894737,1625.5,0.0,1182327.0,10865.447368421053,2705.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,LA,Laos,2021,0.0,1336.0,140.16666666666666,56.0,0.0,5.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,6855.0,2018.75,1835.5,0.0,492782.0,44095.333333333336,14969.5,0.0,656535.0,36532.40476190476,9472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,LA,Laos,2022,0.0,2819.0,695.6666666666666,253.0,0.0,12.0,1.711111111111111,1.0,0.0,0.0,0.0,0.0,0.0,5688.0,686.9777777777778,0.0,383.0,845739.0,47642.42222222222,12470.0,981.0,544017.0,47186.97777777778,14098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,LB,Lebanon,2021,0.0,4537.0,1247.8983050847457,923.0,0.0,93.0,15.664406779661016,8.0,0.0,0.0,0.0,0.0,0.0,22450.0,560.0271186440677,0.0,0.0,51661.0,7381.047457627119,5437.0,0.0,50354.0,6167.6169491525425,4245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,LB,Lebanon,2022,0.0,10760.0,3072.516129032258,1633.5,0.0,21.0,10.088709677419354,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152716.0,3797.9193548387098,1414.5,7.0,135501.0,4580.153225806452,2270.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC,LC,Saint Lucia,2021,0.0,181.0,33.986301369863014,14.5,0.0,18.0,0.9657534246575342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15295.0,381.3767123287671,113.0,0.0,4452.0,219.26027397260273,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC,LC,Saint Lucia,2022,0.0,568.0,90.47692307692307,45.0,0.0,8.0,0.35384615384615387,0.0,0.0,0.0,0.0,0.0,0.0,421.0,13.6,0.0,0.0,520.0,66.03076923076924,48.0,0.0,527.0,84.1076923076923,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI,LI,Liechtenstein,2020,23.0,59.0,36.0,34.0,0.0,4.0,1.3636363636363635,1.0,0.0,143.0,35.09090909090909,30.0,92.0,306.0,201.27272727272728,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI,LI,Liechtenstein,2021,0.0,78.0,11.183561643835617,4.0,0.0,3.0,0.0684931506849315,0.0,0.0,181.0,10.698630136986301,2.0,33.0,859.0,185.27397260273972,173.0,0.0,632.0,71.65479452054795,8.0,0.0,570.0,70.14246575342466,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
