location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,X4
CN,2022,CN,China,0,7374895.0,21390.0,210821.0,0.0,6501193.0,25485.0,331569.0,9214000000.0,1439323774.0,738247340.0,701076434.0,554781038.0,842933962.0,26317104.0,398976116.0,153.312,0.752,170667620.0,166604610.0,185147170.0,228830425.0,216111763.0,222185873.0,151663905.0,71494305.0,26618103.0,0.0
CO,2020,CO,Colombia,0,1706680.0,50101.0,1449600.0,7776173.0,1706680.0,50101.0,1449600.0,8143559.0,50882884.0,24984564.0,25898320.0,9512141.0,40827302.0,10779376.0,22114342.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,152.82492635441025
CO,2021,CO,Colombia,0,3486573.0,102369.0,3520449.0,21497783.0,5193253.0,152470.0,4970049.0,29641342.0,50882884.0,24984564.0,25898320.0,9512141.0,40827302.0,10779376.0,22114342.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,422.49537192113564
CO,2022,CO,Colombia,0,1111064.0,12768.0,470972.0,4770370.0,6304317.0,155770.0,5441021.0,35241195.0,50882884.0,24984564.0,25898320.0,9512141.0,40827302.0,10779376.0,22114342.0,45.861,0.747,7414155.0,8119876.0,8847061.0,7810299.0,6450787.0,5543980.0,3771358.0,1979761.0,945607.0,93.751957927542
CR,2020,CR,Costa Rica,0,169321.0,2185.0,0.0,431013.0,169321.0,2185.0,0.0,431013.0,5094114.0,2545076.0,2549038.0,1005676.0,4041885.0,1378546.0,1378546.0,99.767,0.794,705598.0,718837.0,824456.0,825655.0,650562.0,602395.0,423008.0,230865.0,112738.0,84.61000283857017
CR,2021,CR,Costa Rica,0,403227.0,5172.0,0.0,1840029.0,572548.0,7357.0,0.0,2271042.0,5094114.0,2545076.0,2549038.0,1005676.0,4041885.0,1378546.0,1378546.0,99.767,0.794,705598.0,718837.0,824456.0,825655.0,650562.0,602395.0,423008.0,230865.0,112738.0,361.2068752289407
CR,2022,CR,Costa Rica,0,533244.0,1556.0,0.0,1406483.0,1105792.0,8913.0,0.0,3677525.0,5094114.0,2545076.0,2549038.0,1005676.0,4041885.0,1378546.0,1378546.0,99.767,0.794,705598.0,718837.0,824456.0,825655.0,650562.0,602395.0,423008.0,230865.0,112738.0,276.09963184962095
CU,2020,CU,Cuba,0,12056.0,146.0,0.0,1501492.0,12056.0,146.0,0.0,1502010.0,11326616.0,5623468.0,5703148.0,2594348.0,8739135.0,2138419.0,2138419.0,106.413,0.769,1199376.0,1246732.0,1421019.0,1523033.0,1561982.0,1967295.0,1174022.0,804207.0,428950.0,132.56315919953497
CU,2021,CU,Cuba,0,954417.0,8177.0,0.0,3794752.0,966473.0,8323.0,0.0,5296762.0,11326616.0,5623468.0,5703148.0,2594348.0,8739135.0,2138419.0,2138419.0,106.413,0.769,1199376.0,1246732.0,1421019.0,1523033.0,1561982.0,1967295.0,1174022.0,804207.0,428950.0,335.0296328576867
CU,2022,CU,Cuba,0,144475.0,207.0,0.0,0.0,1110948.0,8530.0,0.0,0.0,11326616.0,5623468.0,5703148.0,2594348.0,8739135.0,2138419.0,2138419.0,106.413,0.769,1199376.0,1246732.0,1421019.0,1523033.0,1561982.0,1967295.0,1174022.0,804207.0,428950.0,0.0
