location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
LU,2021,LU,Luxembourg,0.0,58282.0,407.0,0.0,2172369.0,105018.0,916.0,0.0,3824364.0,463152.0,464403.0,37422.0,37869.0,1075171.0,1076423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613894.0,308720.0,305174.0,54408.0,565488.0,2159137.0,3137690.0,235.1,0.916,65947.0,65866.0,84163.0,95974.0,92360.0,87825.0,60143.0,37334.0,24282.0
LU,2022,LU,Luxembourg,0.0,183509.0,210.0,0.0,475537.0,288527.0,1126.0,0.0,4299901.0,17254.0,481657.0,425086.0,462955.0,267170.0,1343593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613894.0,308720.0,305174.0,54408.0,565488.0,2159137.0,3137690.0,235.1,0.916,65947.0,65866.0,84163.0,95974.0,92360.0,87825.0,60143.0,37334.0,24282.0
LV,2020,LV,Latvia,0.0,41929.0,668.0,0.0,880975.0,41929.0,668.0,0.0,880975.0,2333.0,2334.0,1.0,2.0,2335.0,2336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919968.0,884909.0,1035059.0,607846.0,1304943.0,633820.0,3137690.0,30.4,0.819,204389.0,189618.0,210869.0,266944.0,258763.0,270667.0,240208.0,170997.0,107513.0
LV,2021,LV,Latvia,0.0,235092.0,3911.0,0.0,4677188.0,277021.0,4579.0,0.0,5558163.0,1311789.0,1314123.0,1262505.0,1262507.0,2553219.0,2555555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919968.0,884909.0,1035059.0,607846.0,1304943.0,633820.0,3137690.0,30.4,0.819,204389.0,189618.0,210869.0,266944.0,258763.0,270667.0,240208.0,170997.0,107513.0
LV,2022,LV,Latvia,0.0,634981.0,1386.0,0.0,1705403.0,912002.0,5965.0,0.0,7263566.0,32061.0,1346184.0,43469.0,1305976.0,340161.0,2895716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919968.0,884909.0,1035059.0,607846.0,1304943.0,633820.0,3137690.0,30.4,0.819,204389.0,189618.0,210869.0,266944.0,258763.0,270667.0,240208.0,170997.0,107513.0
LY,2020,LY,Libya,0.0,100744.0,1487.0,0.0,440187.0,100744.0,1487.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871287.0,3468737.0,3402550.0,1328855.0,5448597.0,1160918.0,1160918.0,3.905,0.706,1285421.0,1185744.0,1095416.0,1163468.0,1049200.0,617154.0,284259.0,138926.0,51699.0
LY,2021,LY,Libya,0.0,287990.0,4223.0,0.0,1228616.0,388734.0,5710.0,0.0,0.0,1853447.0,1854197.0,773627.0,825677.0,2679124.0,2679874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6871287.0,3468737.0,3402550.0,1328855.0,5448597.0,1160918.0,1160918.0,3.905,0.706,1285421.0,1185744.0,1095416.0,1163468.0,1049200.0,617154.0,284259.0,138926.0,51699.0
LY,2022,LY,Libya,0.0,118175.0,727.0,0.0,311734.0,506909.0,6437.0,0.0,0.0,450208.0,2304405.0,403015.0,1228692.0,1029331.0,3709205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6871287.0,3468737.0,3402550.0,1328855.0,5448597.0,1160918.0,1160918.0,3.905,0.706,1285421.0,1185744.0,1095416.0,1163468.0,1049200.0,617154.0,284259.0,138926.0,51699.0
MA,2020,MA,Morocco,0.0,440970.0,7425.0,0.0,4398413.0,440970.0,7425.0,0.0,4473704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36910558.0,18316887.0,18593671.0,13496743.0,22975026.0,3716093.0,7941338.0,82.703,0.667,6752615.0,6097196.0,5883278.0,5606356.0,4452432.0,3743784.0,2735019.0,1197078.0,442800.0
MA,2021,MA,Morocco,0.0,524450.0,7426.0,0.0,4934270.0,965420.0,14851.0,0.0,9899598.0,22272889.0,24630172.0,22989742.0,22994609.0,50265580.0,50265580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36910558.0,18316887.0,18593671.0,13496743.0,22975026.0,3716093.0,7941338.0,82.703,0.667,6752615.0,6097196.0,5883278.0,5606356.0,4452432.0,3743784.0,2735019.0,1197078.0,442800.0
