location_key,X1_hospital_beds,X2_physicians,X3_ghs_early_detection,X4_testing_rate,X5_ghs_index,X6_internet_users,X7_age_60_plus,X8_smoking,X9_diabetes,Y_is_ready
UA,2.3,1.57655,16.7,183.7235852513844,38.9,79.2183,23.643384964919207,,,0
UG,2.3,0.168,50.0,27.8456308344811,36.5,10.0,3.226886163398264,,,1
US,2.3,2.612,33.3,1415.3007966730852,36.65,75.44895,22.87533035951824,,,0
UY,2.3,5.0794,50.0,1087.2546979080394,40.3,87.6444,20.23547043276573,,,0
UZ,2.3,1.57655,33.3,0.0,39.0,76.5904,8.279785841304419,,,1
VC,2.3,1.57655,33.3,13.907541438704968,36.65,75.44895,14.67817967137462,,,0
VE,2.3,1.57655,0.0,0.0,20.9,0.0,12.113398173572087,,,1
VG,2.3,1.57655,33.3,0.0,36.65,75.44895,17.977974005357673,,,0
VI,2.3,1.57655,33.3,652.2700937532919,36.65,75.44895,27.637589419955372,,,0
VN,2.3,0.8281,83.3,256.71510956760073,42.9,74.21,12.315381661144583,,,1
VU,2.3,0.1653,0.0,0.0,25.9,45.6772,5.805306853328992,,,1
WS,2.3,0.3445,16.7,0.0,28.8,56.5947,8.039917342875864,,,1
XK,2.3,1.57655,33.3,0.0,36.65,75.44895,12.777095067598928,,,1
YE,2.3,1.57655,0.0,0.0,16.1,0.0,4.638451298546286,,,1
YT,2.3,1.57655,33.3,0.0,36.65,75.44895,6.101981943675704,,,1
ZA,2.3,0.9054,66.7,241.3104049339144,45.8,74.9686,8.535494545571652,,,1
ZM,2.3,1.1867,66.7,126.09375261777171,26.5,32.5,3.424224905673186,,,1
ZW,2.3,0.2096,50.0,100.30944779584802,32.4,37.0967,4.6318871107958755,,,1
